experiment	sharpe	ic	dir_acc	ann_return	max_dd	status	description
E1_lasso_all_lam5	-0.1044	0.1260	0.4930	-0.0139	-0.2648	discard	features+model+lambda experiment
E2_lasso_all_lam10	-0.1009	0.1260	0.4930	-0.0133	-0.2607	discard	features+model+lambda experiment
E3_lasso_macro_only	-0.0986	0.0094	0.4692	-0.0117	-0.2331	discard	features+model+lambda experiment
E4_lasso_momvol_only	0.0445	0.1535	0.5382	0.0073	-0.2476	discard	features+model+lambda experiment
E5_ridge_shrink50	-0.2113	0.1879	0.5088	-0.0301	-0.2681	discard	features+model+lambda experiment
E6_elastic_shrink30	-0.1414	0.1507	0.5021	-0.0191	-0.2787	discard	features+model+lambda experiment
E7_xgb_all	0.1289	0.0030	0.4669	0.0168	-0.2450	discard	features+model+lambda experiment
E8_lgbm_macro	0.6067	0.0378	0.4886	0.0768	-0.2083	keep	features+model+lambda experiment
E9_lasso_all_lam20	-0.1093	0.1260	0.4930	-0.0139	-0.2443	discard	features+model+lambda experiment
E10_ridge_macro_shrink70	0.0359	0.0984	0.4932	0.0043	-0.2216	discard	features+model+lambda experiment
